co,no2,nox,pm10,pm25,relativehumidity,temperature
2.08,117.5,0.0713,169.0,68.0,94.0,10.9
3.4850000000000003,28.4,0.0198,105.0,25.0,93.0,11.3
1.28,40.6,0.1033,254.0,177.0,95.0,9.9
3.32,93.4,0.1482,259.0,138.0,91.0,9.0
1.87,186.1,0.1098,313.0,156.0,83.0,9.8
2.27,108.7,0.0622999999999999,123.0,72.0,68.0,14.7
3.06,140.1,0.0919,280.0,130.0,89.0,11.6
2.14,104.0,0.0612,89.0,38.0,88.0,11.6
3.81,80.7,0.0659,199.0,106.0,88.0,12.9
2.21,94.4,0.0582,184.0,78.0,91.0,11.3
3.47,117.7,0.1071,206.0,140.0,90.0,11.3
3.22,3.8,0.0039,119.0,35.0,84.0,13.7
2.93,27.1,0.1354,335.0,197.0,94.0,8.5
1.83,116.2,0.0712,130.0,57.0,92.0,10.4
2.18,131.0,0.0834,222.0,111.0,94.0,11.0
1.65,160.4,0.0967,337.0,178.0,81.0,13.8
1.25,68.4,0.0382999999999999,307.0,33.0,50.0,15.8
0.82,61.1,0.0605499999999999,288.0,179.0,93.0,9.9
2.29,134.6,0.1024,156.0,85.0,92.0,11.5
2.21,104.9,0.0624,89.0,38.0,88.0,11.5
2.21,105.8,0.0624,204.0,75.0,91.0,11.1
2.42,130.8,0.0755,195.0,95.0,78.0,13.0
3.45,96.6,0.1279,349.0,190.0,87.0,10.2
3.68,76.7,0.0458999999999999,191.0,68.0,84.0,12.6
3.1,124.1,0.0897,199.0,121.0,88.0,10.6
1.85,133.9,0.1240999999999999,212.0,91.0,94.0,8.9
0.8,44.0,0.0718,179.0,97.0,93.0,9.2
1.49,93.4,0.0523,237.0,45.0,48.0,15.6
3.02,30.3,0.1364,335.0,197.0,94.0,8.4
1.8,115.1,0.071,161.0,47.0,92.0,10.4
3.72,77.6,0.0482,237.0,125.0,81.0,14.2
3.405,58.3,0.0538999999999999,143.0,73.0,92.0,12.3
2.13,102.6,0.1638,211.0,111.0,93.0,11.0
1.03,37.8,0.0934,305.0,193.0,94.0,9.2
2.35,89.1,0.0547999999999999,140.0,47.0,87.0,11.5
1.65,124.5,0.0695,321.0,149.0,51.0,15.1
2.16,241.8,0.1361,453.0,251.0,62.0,13.2
1.48,123.1,0.0767,204.0,105.0,94.0,11.6
1.87,176.2,0.1104,313.0,156.0,85.0,9.5
2.2,181.0,0.104,267.0,112.0,59.0,13.0
1.51,117.7,0.0861,194.0,77.0,95.0,8.5
3.82,72.2,0.0427,288.0,143.0,89.0,13.2
1.47,40.8,0.1472,355.0,188.0,93.0,11.4
4.49,27.3,0.2184,277.0,173.0,93.0,8.7
1.13,72.4,0.0406,207.0,107.0,46.0,16.5
2.1,138.9,0.16,245.0,106.0,92.0,11.6
2.34,145.7,0.1563,326.0,182.0,92.0,8.4
2.24,135.4,0.0774,184.0,83.0,86.0,12.2
1.52,126.3,0.0937,219.0,118.0,94.0,11.7
2.37,137.1,0.0805999999999999,204.0,95.0,80.0,13.1
2.99,126.9,0.1254,224.0,122.0,88.0,11.6
2.68,133.3,0.0795999999999999,224.0,95.0,78.0,12.4
2.55,116.0,0.1080999999999999,252.0,140.0,91.0,10.5
2.21,137.2,0.0788,151.0,84.0,82.0,12.7
1.83,140.2,0.1554,278.0,138.0,94.0,8.4
2.02,130.1,0.0883,217.0,102.0,88.0,9.4
1.01,99.8,0.0515,244.0,91.0,58.0,14.2
2.11,102.3,0.1603,211.0,111.0,93.0,11.3
4.08,27.6,0.2018,346.0,216.0,94.0,8.7
1.31,31.8,0.1377,355.0,188.0,94.0,11.0
3.17,54.3,0.0325,56.0,136.8,91.0,12.8
3.39,14.7,0.0157,105.0,25.0,94.0,11.3
3.89,82.5,0.0497,278.0,184.0,78.0,14.4
1.71,143.8,0.1284,279.0,140.0,94.0,8.2
1.96,133.7,0.1105999999999999,156.0,85.0,92.0,11.4
2.06,102.8,0.0596,168.0,74.0,65.0,14.5
1.57,104.7,0.0675,152.0,86.0,94.0,11.0
2.69,169.2,0.138,287.0,117.0,87.0,8.6
2.06,239.9,0.1315,466.0,233.0,62.0,12.8
3.18,37.2,0.0225,110.0,28.0,90.0,12.8
3.49,37.8,0.0232,143.0,62.0,91.0,12.4
2.53,130.1,0.0755,230.0,111.0,72.0,13.7
3.52,37.8,0.0226,130.0,31.0,90.0,12.7
2.89,129.0,0.121,287.0,168.0,92.0,10.6
2.505,125.0,0.1174,315.0,177.0,93.0,10.9
2.15,137.2,0.1851,316.0,161.0,93.0,8.1
1.84,110.2,0.0684,153.0,58.0,94.0,10.7
3.93,72.9,0.1728,480.0,259.0,90.0,10.0
2.48,101.1,0.0608,146.0,67.0,91.0,11.4
2.94,128.2,0.1199,287.0,168.0,92.0,10.6
3.16,50.9,0.0298,326.0,168.0,94.0,12.2
2.29,140.8,0.0815,183.0,79.0,86.0,12.2
2.18,101.3,0.0619,204.0,75.0,91.0,11.1
3.76,1.7,0.0049,75.0,20.0,92.0,12.9
3.55,18.6,0.0171,112.0,31.0,94.0,11.9
3.38,91.9,0.1398,222.0,121.0,90.0,9.0
1.45,123.5,0.0737,196.0,113.0,92.0,11.4
2.28,136.5,0.0794,184.0,83.0,87.0,12.2
1.58,135.9,0.0845,243.0,128.0,90.0,11.5
1.51,97.6,0.0544,237.0,45.0,49.0,15.3
1.05,78.4,0.0448999999999999,244.0,64.0,58.0,14.2
2.16,128.6,0.0752999999999999,211.0,110.0,72.0,14.5
1.02,99.8,0.0515,244.0,91.0,58.0,14.2
2.28,133.3,0.1079,183.0,85.0,92.0,11.1
2.3,115.4,0.0684,188.0,84.0,86.0,12.2
2.82,119.9,0.1209,224.0,122.0,89.0,11.2
3.62,113.2,0.1165,206.0,140.0,92.0,11.5
3.66,70.3,0.0407999999999999,171.0,79.0,82.0,13.0
1.88,88.5,0.0515,244.0,79.0,58.0,14.2
1.79,106.4,0.0640999999999999,177.0,58.0,93.0,10.4
3.16,2.3,0.0033,66.0,32.0,71.0,14.6
1.51,99.8,0.0515,244.0,171.0,58.0,14.2
2.73,138.9,0.0803,222.0,100.0,69.0,13.6
2.175,112.2,0.1606999999999999,211.0,111.0,93.0,11.4
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
2.13,109.8,0.0647,238.0,110.0,70.0,14.2
1.57,132.7,0.0975999999999999,277.0,125.0,94.0,11.8
3.1,58.3,0.0347,283.0,186.0,93.0,12.2
3.81,93.6,0.15,433.0,273.0,88.0,10.1
2.23,102.3,0.0603,172.0,67.0,70.0,14.2
1.61,121.1,0.0906,196.0,90.0,95.0,8.4
2.51,117.5,0.0695,195.0,74.0,72.0,13.7
3.47,35.7,0.0212,130.0,31.0,90.0,12.8
0.82,94.2,0.0542,371.0,169.0,72.0,13.8
2.74,139.5,0.0828,232.0,110.0,81.0,11.8
2.03,176.0,0.1408,268.0,122.0,92.0,9.9
2.27,103.2,0.1257,269.0,135.0,91.0,11.0
2.16,101.9,0.0629,204.0,75.0,91.0,11.1
2.1,116.6,0.067,171.0,74.0,71.0,13.9
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
4.0,69.2,0.1799,333.0,182.0,92.0,8.7
2.4,135.4,0.0783,259.0,117.0,66.0,14.4
2.7,148.7,0.1085999999999999,216.0,110.0,83.0,12.7
1.09,69.6,0.0392,228.0,64.0,46.0,16.5
1.85,109.6,0.0662,177.0,58.0,93.0,10.6
1.67,159.0,0.095,337.0,178.0,80.0,13.9
1.25,66.6,0.0385,166.0,83.0,71.0,10.9
3.49,75.2,0.0457,224.0,108.0,90.0,12.6
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
1.99,122.6,0.0819,168.0,64.0,90.0,9.0
1.56,139.7,0.0854,243.0,128.0,91.0,11.4
2.23,188.0,0.1072,378.0,151.0,60.0,13.0
1.52,118.1,0.0729,204.0,105.0,94.0,11.6
3.09,147.4,0.1777,371.0,227.0,92.0,8.3
2.66,135.4,0.0794,224.0,95.0,71.0,13.3
3.16,57.2,0.0345,326.0,168.0,94.0,12.2
1.18,67.3,0.0373,235.0,58.0,46.0,16.3
3.5,54.0,0.0518,169.0,79.0,90.0,11.1
3.13,196.1,0.2191,323.0,222.0,88.0,9.2
2.35,102.8,0.0613,156.0,57.0,86.0,11.7
1.64,145.7,0.1156,279.0,140.0,95.0,8.4
2.31,148.7,0.0885,232.0,103.0,81.0,13.1
2.15,99.8,0.0611,145.0,35.0,87.0,11.8
2.51,114.9,0.107,252.0,140.0,91.0,10.4
2.19,96.8,0.0572,184.0,78.0,91.0,11.3
3.37,97.6,0.1536999999999999,259.0,138.0,91.0,9.0
1.56,124.5,0.075,239.0,105.0,94.0,11.4
2.14,173.5,0.099,301.0,152.0,68.0,11.5
2.19,140.6,0.2008,278.0,139.0,95.0,8.6
2.0,126.7,0.0849,168.0,64.0,89.0,9.1
1.57,144.8,0.0853,261.0,139.0,83.0,12.2
2.92,160.6,0.1444,276.0,149.0,89.0,8.4
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
2.34,300.2,0.1645,345.0,216.0,59.0,13.4
3.82,79.0,0.134,350.0,173.0,87.0,9.6
1.79,100.4,0.062,139.0,57.0,93.0,10.4
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
0.49,79.7,0.0448,371.0,169.0,62.0,14.3
1.91,222.6,0.1263,266.0,151.0,54.0,13.2
1.06,69.4,0.0391,207.0,107.0,46.0,16.5
3.46,56.0,0.0608,237.0,89.0,92.0,12.1
2.77,151.5,0.1123,216.0,110.0,84.0,12.5
